ID	Version	IsSupported	FieldCheck	FieldOK	Context	Syntax	TemplateName	DataScope	Params	Template	Remarks	Dependencies	EffectiveDate	RetireDate	CreateDate	CreatedBy_ID	LastModified	LastModifiedBy_ID
3	1	2	0	[NumRecords]=0	qc_ndc_nodata_census	SQL	qc_ndc_nodata_census	QC		SELECT tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date,\nCount(tbl_OT_Census.Census_ID) AS CountOfCensus_ID\nFROM tbl_Locations \nLEFT JOIN (tbl_Events \nLEFT JOIN tbl_OT_Census \nON tbl_Events.Event_ID = tbl_OT_Census.Event_ID) \nON tbl_Locations.Location_ID = tbl_Events.Location_ID\nGROUP BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date\nHAVING (((tbl_Events.Start_Date) Is Not Null) \nAND ((Count(tbl_OT_Census.Census_ID))=0))\nORDER BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date;	Displays plot visits where no OT census data was collected [PlotCheck form]		3/22/2017		3/22/2017 12:17:28 PM	0	3/22/2017 12:17:28 PM	0
4	1	2	0	[NumRecords]=0	qc_ndc_nodata_exoticfreq	SQL	qc_ndc_nodata_exoticfreq	QC		SELECT tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date, tbl_LP_Belt_Transect.Transect, \nCount(tbl_LP_Exotic_Freq.Exotic_ID) AS Exotic_Freq_Count\nFROM (tbl_Locations \nLEFT JOIN (tbl_Events \nLEFT JOIN tbl_LP_Belt_Transect \nON tbl_Events.Event_ID = tbl_LP_Belt_Transect.Event_ID) \nON tbl_Locations.Location_ID = tbl_Events.Location_ID) \nLEFT JOIN tbl_LP_Exotic_Freq ON tbl_LP_Belt_Transect.Transect_ID = tbl_LP_Exotic_Freq.Transect_ID\nGROUP BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date, tbl_LP_Belt_Transect.Transect\nHAVING (((tbl_Events.Start_Date) Is Not Null) \nAND ((Count(tbl_LP_Exotic_Freq.Exotic_ID))=0))\nORDER BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date, tbl_LP_Belt_Transect.Transect;	Displays plot visits where no exotic frequency data was collected [PlotCheck form]		3/22/2017		3/22/2017 12:19:01 PM	0	3/22/2017 12:19:01 PM	0
5	1	2	0	[NumRecords]=0	qc_ndc_nodata_fuels1000hr	SQL	qc_ndc_nodata_fuels1000hr	QC		SELECT tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date,\nCount(tbl_Fuels_1000.Fuels_1000_ID) AS Fuels_1000_Hr_Count\nFROM tbl_Locations \nLEFT JOIN (tbl_Events \nLEFT JOIN tbl_Fuels_1000 \nON tbl_Events.Event_ID = tbl_Fuels_1000.Event_ID) \nON tbl_Locations.Location_ID = tbl_Events.Location_ID\nGROUP BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date, tbl_Locations.Vegetation_Type\nHAVING (((tbl_Events.Start_Date) Is Not Null) \nAND ((Count(tbl_Fuels_1000.Fuels_1000_ID))=0) \nAND ((tbl_Locations.Vegetation_Type)="forest" \nOR (tbl_Locations.Vegetation_Type)="woodland"))\nORDER BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date;	Displays plot visits where no 1000hr fuels data was collected [PlotCheck form]		3/22/2017		3/22/2017 12:19:20 PM	0	3/22/2017 12:19:20 PM	0
6	1	2	0	[NumRecords]=0	qc_ndc_nodata_fuels1000hr_transects	SQL	qc_ndc_nodata_fuels1000hr_transects	QC		SELECT qc_ndc_fuels1000hr_transects_all.Unit_Code, qc_ndc_fuels1000hr_transects_all.Plot_ID, qc_ndc_fuels1000hr_transects_all.Start_Date, qc_ndc_fuels1000hr_transects_all.FuelsTransect\nFROM qc_ndc_fuels1000hr_transects_all \nLEFT JOIN qc_ndc_fuels1000hr_transects ON (qc_ndc_fuels1000hr_transects_all.FuelsTransect = qc_ndc_fuels1000hr_transects.Transect) AND (qc_ndc_fuels1000hr_transects_all.Start_Date = qc_ndc_fuels1000hr_transects.Start_Date) AND (qc_ndc_fuels1000hr_transects_all.Plot_ID = qc_ndc_fuels1000hr_transects.Plot_ID) AND (qc_ndc_fuels1000hr_transects_all.Unit_Code = qc_ndc_fuels1000hr_transects.Unit_Code)\nWHERE (((qc_ndc_fuels1000hr_transects.Unit_Code) Is Null))\nORDER BY qc_ndc_fuels1000hr_transects_all.Unit_Code, qc_ndc_fuels1000hr_transects_all.Plot_ID, qc_ndc_fuels1000hr_transects_all.Start_Date, qc_ndc_fuels1000hr_transects_all.FuelsTransect;	Displays plot visits for all transects with 1000hr fuel [PlotCheck form]	79,80	3/22/2017		3/22/2017 12:19:34 PM	0	3/22/2017 12:19:34 PM	0
7	1	2	0	[NumRecords]=0	qc_ndc_nodata_fuels1000hr_transect_A	SQL	qc_ndc_nodata_fuels1000hr_transect_A	QC		SELECT qc_ndc_nodata_fuels1000hr_transects.Unit_Code, qc_ndc_nodata_fuels1000hr_transects.Plot_ID, qc_ndc_nodata_fuels1000hr_transects.Start_Date, qc_ndc_nodata_fuels1000hr_transects.FuelsTransect\nFROM qc_ndc_nodata_fuels1000hr_transects\nWHERE (((qc_ndc_nodata_fuels1000hr_transects.FuelsTransect)="A"))\nORDER BY qc_ndc_nodata_fuels1000hr_transects.Unit_Code, qc_ndc_nodata_fuels1000hr_transects.Plot_ID, qc_ndc_nodata_fuels1000hr_transects.Start_Date;	Displays plot visits for all 1000hr fuel A transects [PlotCheck form]	6	3/22/2017		3/22/2017 12:19:57 PM	0	3/22/2017 12:19:57 PM	0
8	1	2	0	[NumRecords]=0	qc_ndc_nodata_fuels1000hr_transect_B	SQL	qc_ndc_nodata_fuels1000hr_transect_B	QC		SELECT qc_ndc_nodata_fuels1000hr_transects.Unit_Code, qc_ndc_nodata_fuels1000hr_transects.Plot_ID, qc_ndc_nodata_fuels1000hr_transects.Start_Date, qc_ndc_nodata_fuels1000hr_transects.FuelsTransect\nFROM qc_ndc_nodata_fuels1000hr_transects\nWHERE (((qc_ndc_nodata_fuels1000hr_transects.FuelsTransect)="B"))\nORDER BY qc_ndc_nodata_fuels1000hr_transects.Unit_Code, qc_ndc_nodata_fuels1000hr_transects.Plot_ID, qc_ndc_nodata_fuels1000hr_transects.Start_Date;	Displays plot visits for all 1000hr fuel B transects [PlotCheck form]	6	3/22/2017		3/22/2017 12:20:19 PM	0	3/22/2017 12:20:19 PM	0
9	1	2	0	[NumRecords]=0	qc_ndc_nodata_fuels1000hr_transect_C	SQL	qc_ndc_nodata_fuels1000hr_transect_C	QC		SELECT qc_ndc_nodata_fuels1000hr_transects.Unit_Code, qc_ndc_nodata_fuels1000hr_transects.Plot_ID, qc_ndc_nodata_fuels1000hr_transects.Start_Date, qc_ndc_nodata_fuels1000hr_transects.FuelsTransect\nFROM qc_ndc_nodata_fuels1000hr_transects\nWHERE (((qc_ndc_nodata_fuels1000hr_transects.FuelsTransect)="C"))\nORDER BY qc_ndc_nodata_fuels1000hr_transects.Unit_Code, qc_ndc_nodata_fuels1000hr_transects.Plot_ID, qc_ndc_nodata_fuels1000hr_transects.Start_Date;	Displays plot visits for all 1000hr fuel C transects [PlotCheck form]	6	3/22/2017		3/22/2017 12:20:27 PM	0	3/22/2017 12:20:27 PM	0
10	1	2	0	[NumRecords]=0	qc_ndc_nodata_fuels1000hr_transect_D	SQL	qc_ndc_nodata_fuels1000hr_transect_D	QC		SELECT qc_ndc_nodata_fuels1000hr_transects.Unit_Code, qc_ndc_nodata_fuels1000hr_transects.Plot_ID, qc_ndc_nodata_fuels1000hr_transects.Start_Date, qc_ndc_nodata_fuels1000hr_transects.FuelsTransect\nFROM qc_ndc_nodata_fuels1000hr_transects\nWHERE (((qc_ndc_nodata_fuels1000hr_transects.FuelsTransect)="D"))\nORDER BY qc_ndc_nodata_fuels1000hr_transects.Unit_Code, qc_ndc_nodata_fuels1000hr_transects.Plot_ID, qc_ndc_nodata_fuels1000hr_transects.Start_Date;	Displays plot visits for all 1000hr fuel D transects [PlotCheck form]	6	3/22/2017		3/22/2017 12:20:37 PM	0	3/22/2017 12:20:37 PM	0
11	1	2	0	[NumRecords]=0	qc_ndc_nodata_saplings	SQL	qc_ndc_nodata_saplings	QC		SELECT tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date,\nCount(tbl_OT_Tree_Saplings.TS_ID) AS Sapling_Count\nFROM tbl_Locations \nLEFT JOIN (tbl_Events \nLEFT JOIN tbl_OT_Tree_Saplings \nON tbl_Events.Event_ID = tbl_OT_Tree_Saplings.Event_ID) \nON tbl_Locations.Location_ID = tbl_Events.Location_ID\nGROUP BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date\nHAVING (((tbl_Events.Start_Date) Is Not Null) \nAND ((Count(tbl_OT_Tree_Saplings.TS_ID))=0))\nORDER BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date;	Displays plot visits where no OT sapling data were collected [PlotCheck form]		3/22/2017		3/22/2017 12:20:53 PM	0	3/22/2017 12:20:53 PM	0
12	1	2	0	[NumRecords]=0	qc_ndc_nodata_seedlings	SQL	qc_ndc_nodata_seedlings	QC		SELECT tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date, tbl_LP_Belt_Transect.Transect, Count(tbl_LP_Seedling.Seedling_ID) \nAS Seedling_Count\nFROM (tbl_Locations LEFT JOIN (tbl_Events LEFT JOIN tbl_LP_Belt_Transect \nON tbl_Events.Event_ID = tbl_LP_Belt_Transect.Event_ID) \nON tbl_Locations.Location_ID = tbl_Events.Location_ID) \nLEFT JOIN tbl_LP_Seedling ON tbl_LP_Belt_Transect.Transect_ID = tbl_LP_Seedling.Transect_ID\nGROUP BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date, tbl_LP_Belt_Transect.Transect\nHAVING (((tbl_Events.Start_Date) Is Not Null) \nAND ((Count(tbl_LP_Seedling.Seedling_ID))=0))\nORDER BY tbl_Locations.Unit_Code, tbl_Locations.Plot_ID, tbl_Events.Start_Date, tbl_LP_Belt_Transect.Transect;	Displays plot visits where no seedling data were collected [PlotCheck form]		3/22/2017		3/22/2017 12:21:08 PM	0	3/22/2017 12:21:08 PM	0
